asset_id,market_id,outcome,as_of,best_bid,best_ask,mid,source,updated_at
71478852790279095447182996049071040792010759617668969799049179229104800573786,601697,NO,2025-12-16 01:45:52.080634+00,0.983,0.984,0.9835,clob_ws,2025-12-16 01:45:59.220462+00
11862165566757345985240476164489718219056735011698825377388402888080786399275,601697,YES,2025-12-16 01:45:52.080634+00,0.016,0.017,0.0165,clob_ws,2025-12-16 01:45:59.219685+00
48193521645113703700467246669338225849301704920590102230072263970163239985027,601698,NO,2025-12-16 01:45:59.217536+00,0.79,0.8,0.795,clob_ws,2025-12-16 01:45:59.221833+00
92703761682322480664976766247614127878023988651992837287050266308961660624165,601698,YES,2025-12-16 01:45:53.921323+00,0.2,0.21,0.205,clob_ws,2025-12-16 01:45:59.221093+00
7321318078891059430231591636389479745928915782241484131001985601124919020061,601699,NO,2025-12-16 01:45:54.817361+00,0.23,0.24,0.235,clob_ws,2025-12-16 01:45:59.223825+00
112838095111461683880944516726938163688341306245473734071798778736646352193304,601699,YES,2025-12-16 01:45:54.817361+00,0.76,0.77,0.765,clob_ws,2025-12-16 01:45:59.222834+00
42139849929574046088630785796780813725435914859433767469767950066058132350666,601700,NO,2025-12-16 01:45:54.290844+00,0.986,0.987,0.9865,clob_ws,2025-12-16 01:45:59.217994+00
16419649354067298412736919830777830730026677464626899811394461690794060330642,601700,YES,2025-12-16 01:45:54.290633+00,0.013,0.014,0.0135,clob_ws,2025-12-16 01:45:59.224787+00
